wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
가구,003800,에이스침대,5.18,8.0,0,61.42,17.62376237623762,6.138613861386139,21.584158415841586,34.05940594059406
가구,415380,스튜디오삼익,11.85,13.0,0,59.44,21.066319895968793,-63.198959687906374,-70.28608582574772,-73.40702210663198
가구,134790,시디즈,18.41,-3.53,0,54.82,23.134328358208954,-9.888059701492537,-19.58955223880597,-27.350746268656717
건설,028050,삼성E&A,5.29,13.76,1,69.07,12.530712530712531,33.169533169533175,14.250614250614252,72.48157248157248
건설,004960,한신공영,2.15,7.43,0,65.99,40.80944350758853,30.185497470489036,70.65767284991568,149.07251264755482
건설,002460,HS화성,4.12,6.73,0,62.63,19.810326659641728,6.8493150684931505,22.233930453108535,20.231822971549
광고,214320,이노션,6.93,8.88,1,87.5,14.229024943310659,3.231292517006803,3.741496598639456,-0.11337868480725624
광고,030000,제일기획,9.79,13.7,1,81.49,11.602209944751381,11.32596685082873,15.193370165745856,3.1491712707182318
광고,363260,모비데이즈,0.0,8.0,0,47.74,-23.464912280701753,-13.684210526315791,-28.07017543859649,-37.324561403508774
기계,049430,코메론,5.78,9.0,0,67.03,4.9695740365111565,9.533468559837727,31.845841784989858,117.54563894523326
기계,049800,우진플라임,6.82,2.11,0,62.51,-4.648910411622276,5.084745762711865,-7.990314769975787,24.213075060532688
기계,010240,흥국,4.48,11.0,0,60.87,2.0754716981132075,-5.754716981132075,-2.8301886792452833,-2.4528301886792456
식품,088910,동우팜투테이블,1.83,13.0,0,68.36,13.563829787234042,14.893617021276595,10.638297872340425,25.79787234042553
식품,101530,해태제과식품,8.09,7.77,0,65.86,9.242424242424242,0.6060606060606061,4.696969696969696,-3.3333333333333335
식품,005990,매일홀딩스,2.38,8.0,0,62.32,17.758985200845668,17.019027484143763,16.173361522198732,17.019027484143763
은행,105560,KB금융,6.87,9.98,0,64.53,39.19597989949749,46.10552763819096,54.89949748743719,84.04522613065326
은행,006220,제주은행,114.09,2.14,0,38.99,100.132802124834,86.85258964143426,52.722443559096945,57.90172642762285
음료,000080,하이트진로,37.95,3.69,2,70.36,6.5362840967575915,-2.058672156459084,-6.0730828615542976,-14.565105506948017
음료,018120,진로발효,18.6,14.0,0,65.53,10.308677926616191,9.900990099009901,4.309842748980781,0.7571345369831101
음료,033920,무학,2.67,8.49,0,56.04,22.76176024279211,22.15477996965099,38.54324734446131,28.83156297420334
제약,234080,JW생명과학,6.14,13.59,0,68.71,9.31899641577061,11.738351254480287,14.78494623655914,13.082437275985665
제약,006620,동구바이오제약,12.06,39.0,0,68.52,-1.550387596899225,6.395348837209303,3.2945736434108532,-1.744186046511628
제약,243070,휴온스,5.77,12.0,0,67.29,14.02439024390244,19.308943089430894,11.178861788617885,3.4552845528455287
조선,103230,에스앤더블류,6.69,10.0,0,61.87,4.961240310077519,38.759689922480625,29.457364341085274,15.348837209302326
조선,108380,대양전기공업,17.8,10.0,1,58.78,41.702921068986946,81.78993163455563,65.32007458048477,52.268489745183345
조선,085310,엔케이,1.08,-2.46,0,54.96,2.203182374541004,58.3843329253366,42.71725826193391,30.110159118727047
증권,023590,다우기술,3.82,15.95,0,67.67,88.43843843843844,77.67767767767768,98.1981981981982,123.72372372372374
증권,030610,교보증권,6.9,5.9,0,64.59,48.45360824742268,55.32646048109966,61.16838487972509,95.87628865979381
증권,001720,신영증권,4.14,7.8,0,64.07,69.64769647696477,78.31978319783198,79.94579945799458,151.49051490514904
철강,001430,세아베스틸지주,4.8,2.89,1,68.23,79.1958041958042,46.27039627039627,225.75757575757578,277.6223776223776
철강,012620,원일특강,3.84,5.0,0,61.73,11.174785100286533,17.908309455587393,16.189111747851005,27.793696275071632
철강,069730,DSR제강,3.83,13.97,0,58.43,7.547169811320755,11.175616835994195,9.288824383164005,36.42960812772134
출판,068290,삼성출판사,17.13,6.34,0,51.77,23.14876584389593,0.9339559706470981,-24.549699799866577,-41.29419613075383
출판,016880,웅진,0.0,96.89,0,35.69,231.79723502304145,408.0645161290323,161.52073732718895,211.05990783410138
출판,036000,예림당,6.65,-15.0,0,27.12,76.73076923076924,20.76923076923077,25.192307692307693,18.076923076923077
화학,004000,롯데정밀화학,5.12,4.42,1,71.71,9.153005464480875,26.229508196721312,17.349726775956285,27.732240437158467
화학,002960,한국쉘석유,11.63,28.93,0,69.06,24.813153961136024,24.2152466367713,30.792227204783256,46.337817638266074
화학,092230,KPX홀딩스,2.58,7.5,0,67.31,24.863883847549907,20.87114337568058,30.30852994555354,45.19056261343013
문구류,005360,모나미,0.0,-12.24,0,23.58,6.889564336372847,1.3171225937183384,-0.9625126646403243,-16.41337386018237
미분류,254160,제이엠멀티,,0.0,0,45.12,12.087912087912088,18.9010989010989,34.065934065934066,89.01098901098901
미분류,311960,인터로이드,,0.0,0,44.47,37.083333333333336,-14.166666666666666,-29.25,-29.208333333333332
미분류,257990,나우코스,,0.0,0,40.53,4.67741935483871,-3.387096774193549,-1.6129032258064515,30.806451612903224
부동산,123890,한국자산신탁,2.25,5.56,0,55.34,7.337526205450734,-2.515723270440252,0.628930817610063,7.127882599580712
부동산,001000,신라섬유,0.0,-2.0,0,43.06,14.664310954063604,18.374558303886925,23.38044758539458,7.302709069493522
부동산,400760,NH올원리츠,,0.34,0,40.72,0.652112276722427,-3.8843209526509783,-4.309611567904735,-8.278990643606464
자동차,005380,현대차,4.35,8.41,1,90.55,5.740181268882175,8.50956696878147,50.30211480362537,134.39073514602217
자동차,900140,엘브이엠씨홀딩스,,3.55,0,45.63,14.71251409244645,-3.720405862457723,-15.16347237880496,-12.62683201803833
자동차,067990,도이치모터스,11.8,1.0,0,44.82,4.772727272727273,5.909090909090909,-1.4772727272727273,-1.0227272727272727
포장재,023600,삼보판지,2.35,5.0,0,61.5,27.918781725888326,23.096446700507613,20.17766497461929,20.17766497461929
포장재,004780,대륙제관,4.54,8.0,0,58.77,2.14190093708166,-0.13386880856760375,-0.9370816599732262,-0.13386880856760375
포장재,002310,아세아제지,3.58,3.52,0,57.19,26.917293233082706,17.894736842105264,16.99248120300752,27.819548872180448
항공사,272450,진에어,3.72,51.15,1,68.13,0.7543103448275862,-14.870689655172415,-25.538793103448278,-34.59051724137931
항공사,003490,대한항공,7.5,7.28,2,64.02,6.511627906976744,5.5813953488372094,3.255813953488372,7.906976744186046
항공사,180640,한진칼,13.78,4.75,0,40.59,48.9281210592686,24.08575031525851,52.585119798234544,39.974779319041616
해운사,067900,와이엔텍,4.76,9.0,0,58.2,11.848341232227488,0.47393364928909953,6.6350710900473935,5.055292259083728
해운사,129260,인터지스,5.11,3.4,0,54.59,17.525773195876287,11.752577319587628,-1.2371134020618557,-2.88659793814433
해운사,109070,주성코퍼레이션,0.0,7.31,0,46.31,-21.20343839541547,0.6685768863419294,-23.591212989493794,19.00668576886342
핸드셋,091700,파트론,12.78,7.0,1,69.6,-6.676342525399129,-5.950653120464441,0.7256894049346879,13.352685050798257
핸드셋,054210,이랜텍,7.45,9.0,0,66.34,20.366598778004075,52.54582484725051,76.17107942973523,101.62932790224033
핸드셋,285490,노바텍,5.63,11.0,0,65.86,8.848484848484848,12.909090909090908,32.121212121212125,23.333333333333332
화장품,192820,코스맥스,33.86,23.86,1,71.12,62.4633431085044,22.58064516129032,4.398826979472141,14.076246334310852
화장품,252500,세화피앤씨,11.94,8.0,0,60.99,5.625,12.625,1.5,0.625
화장품,241710,코스메카코리아,22.82,19.0,0,59.46,26.834381551362686,51.78197064989518,46.75052410901468,63.102725366876314
가정용품,053620,태양,6.95,6.0,0,62.47,7.836990595611286,5.6426332288401255,1.7241379310344827,9.247648902821316
가정용품,009770,삼정펄프,4.51,15.76,0,55.23,18.452380952380953,14.880952380952381,20.833333333333336,25.198412698412696
가정용품,012690,모나리자,11.32,1.53,0,54.12,-3.356890459363958,-16.784452296819786,-23.32155477031802,-22.261484098939928
건축자재,007210,벽산,3.65,7.84,0,60.68,3.7122969837587005,-10.812064965197216,-19.443155452436194,-17.726218097447795
건축자재,090410,덕신이피씨,2.99,1.0,0,59.05,-5.874840357598978,-10.79182630906769,-16.985951468710088,-25.095785440613028
건축자재,000320,노루홀딩스,5.66,6.66,0,57.04,85.45454545454545,85.0909090909091,49.81818181818182,45.81818181818182
건축제품,018310,삼목에스폼,2.33,2.0,0,61.15,11.47623862487361,11.47623862487361,-1.1122345803842264,-5.712841253791709
건축제품,014280,금강공업,3.13,-11.82,0,56.39,2.083333333333333,4.276315789473684,23.903508771929825,3.8377192982456143
건축제품,035200,프럼파스트,36.41,3.0,0,56.11,-42.84539473684211,-37.5,-39.22697368421053,-40.46052631578947
기타금융,023760,한국캐피탈,2.77,13.0,0,61.11,35.14492753623188,50.18115942028986,43.47826086956522,67.93478260869566
기타금융,007330,푸른저축은행,6.08,0.0,0,32.25,15.337423312883436,22.822085889570552,23.31288343558282,39.87730061349693
기타금융,021880,메이슨캐피탈,8.47,0.0,0,30.1,55.90551181102362,9.448818897637794,-4.330708661417323,-20.866141732283463
복합기업,028260,삼성물산,8.79,6.02,1,77.93,38.758389261744966,58.13758389261745,105.53691275167785,121.47651006711409
복합기업,001040,CJ,20.69,2.72,4,68.44,37.385512073272274,51.54038301415487,44.296419650291426,56.61948376353039
