wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
가구,003800,에이스침대,4.96,8.0,0,62.61,0.19047619047619047,-1.1428571428571428,4.380952380952381,-6.095238095238095
가구,016800,퍼시스,47.29,6.07,0,48.75,25.368248772504092,41.08019639934534,38.297872340425535,36.33387888707038
가구,309930,조이웍스앤코,42.82,-79.0,0,32.29,-7.894736842105263,-17.927631578947366,-28.125,-33.223684210526315
건설,028050,삼성E&A,6.85,13.76,7,83.45,11.397849462365592,18.70967741935484,-23.440860215053764,-21.161290322580644
건설,294870,IPARK현대산업개발,23.53,5.0,1,80.17,-1.8909899888765296,24.582869855394883,10.011123470522804,-10.456062291434929
건설,066620,국보디자인,5.02,13.0,0,71.86,-2.819672131147541,2.098360655737705,5.180327868852459,12.983606557377051
광고,030000,제일기획,9.63,13.7,5,83.38,2.985884907709012,-4.125950054288817,0.32573289902280134,-7.166123778501629
광고,214320,이노션,12.52,8.88,5,79.65,3.167420814479638,-10.633484162895927,-8.597285067873303,-18.099547511312217
광고,048550,SM C&C,31.07,-3.0,0,46.95,15.189158667419536,1.2422360248447204,-5.590062111801243,-23.828345567476003
기계,000850,화천기공,1.9,3.36,0,66.06,-4.179566563467492,-8.513931888544892,-15.789473684210526,-19.040247678018577
기계,015230,대창단조,4.11,9.25,0,65.38,17.869415807560138,-11.34020618556701,-13.745704467353953,-13.745704467353953
기계,044780,에이치케이,7.62,8.0,0,62.04,-15.549295774647886,-18.985915492957748,-27.267605633802816,-36.112676056338024
식품,003380,하림지주,2.88,7.0,0,62.55,-17.23700887198986,-26.74271229404309,-31.55893536121673,-32.44613434727503
식품,001800,오리온홀딩스,8.83,5.01,0,61.9,-2.2486772486772484,-1.5873015873015872,11.507936507936508,-1.3227513227513228
식품,005990,매일홀딩스,15.73,8.0,0,61.07,-2.2004889975550124,-2.078239608801956,0.7334963325183375,5.623471882640587
은행,105560,KB금융,5.6,9.98,1,91.26,17.94453507340946,35.725938009787924,49.7553017944535,44.86133768352366
은행,006220,제주은행,20.8,2.14,0,50.74,4.232804232804233,-25.925925925925924,-36.961451247165535,-39.682539682539684
음료,405920,나라셀라,5.65,0.0,0,56.24,-16.37323943661972,-25.352112676056336,-36.09154929577465,-52.02464788732394
음료,000140,하이트진로홀딩스,6.19,-0.46,0,54.39,3.2842582106455263,2.0385050962627407,10.419026047565119,0.22650056625141565
음료,018120,진로발효,31.46,14.0,0,52.61,-7.014157014157014,4.054054054054054,15.315315315315313,10.167310167310168
제약,003850,보령,19.18,7.89,2,80.15,-8.278688524590164,-13.278688524590162,-12.704918032786885,-17.868852459016395
제약,003090,대웅,10.42,16.11,0,74.01,-25.953307392996113,-21.011673151750973,-2.140077821011673,-21.78988326848249
제약,001060,JW중외제약,23.3,17.6,2,72.32,1.3157894736842104,-2.4671052631578947,-11.18421052631579,-25.164473684210524
조선,017960,한국카본,22.38,19.3,1,79.99,7.400379506641366,14.13662239089184,0.47438330170777987,31.87855787476281
조선,009540,HD한국조선해양,0.0,17.78,1,66.07,12.903225806451612,76.98343504795118,56.931124673060154,97.0357454228422
조선,085310,엔케이,6.8,-2.46,0,44.26,-0.3243243243243243,-3.783783783783784,-17.513513513513512,1.2972972972972971
증권,001270,부국증권,5.14,5.68,0,72.33,-2.2587268993839835,5.95482546201232,15.195071868583163,12.114989733059549
증권,001720,신영증권,5.3,7.8,0,71.7,6.825396825396825,15.555555555555555,29.365079365079367,19.523809523809526
증권,030610,교보증권,7.72,5.9,0,70.5,-4.3726235741444865,-3.9923954372623576,1.7110266159695817,1.7110266159695817
철강,069730,DSR제강,2.1,13.97,0,68.24,0.23752969121140144,0.11876484560570072,-15.676959619952493,-16.864608076009503
철강,005490,POSCO홀딩스,10.54,1.18,14,66.48,-8.695652173913043,-18.421052631578945,-22.883295194508012,-43.1350114416476
철강,001230,동국홀딩스,1.93,0.94,0,63.41,-2.7809965237543453,-5.098493626882966,-8.690614136732329,-18.308227114716107
출판,127710,아시아경제,2.29,3.0,0,58.18,0.08244023083264633,-12.366034624896951,9.892827699917559,27.699917559769165
출판,016880,웅진,11.71,96.89,0,52.11,-6.218905472636816,-11.359867330016584,-25.207296849087896,-28.192371475953564
출판,068290,삼성출판사,17.35,6.34,0,34.28,-8.65525672371638,-20.0,-32.02933985330073,-27.970660146699267
화학,003650,미창석유,5.01,13.54,0,71.66,3.096774193548387,9.935483870967742,21.935483870967744,13.806451612903226
화학,003240,태광산업,2.32,2.06,0,70.92,-30.22269353128314,-36.16118769883351,-30.858960763520678,-34.146341463414636
