stock_code,stock_name,corp_cls,industry,current_per,current_pbr,current_bps,current_div,avg_per_3yr,avg_pbr_3yr,min_pbr_3yr,industry_avg_pbr,industry_avg_per
313760,캐리,일반기업,IT,0.0,0.18,2581.0,0.0,,1.7440909090909091,0.18,2.4466197183098592,35.69043661971831
115160,휴맥스,일반기업,IT,0.0,0.19,3632.0,0.0,,0.3680165289256198,0.16,2.4466197183098592,35.69043661971831
123840,뉴온,일반기업,IT,0.0,0.2,2846.0,0.0,,0.6127272727272727,0.18,2.4466197183098592,35.69043661971831
061040,알에프텍,일반기업,IT,0.0,0.22,7214.0,0.0,18.619121756487026,0.4603030303030303,0.21,2.4466197183098592,35.69043661971831
065130,탑엔지니어링,일반기업,IT,0.0,0.23,13002.0,0.0,5.280753138075314,0.3999586776859504,0.22,2.4466197183098592,35.69043661971831
106080,케이이엠텍,일반기업,IT,0.0,0.24,1382.0,0.0,123.41281632653062,4.643939393939394,0.21,2.4466197183098592,35.69043661971831
096690,에이루트,일반기업,IT,0.0,0.24,4764.0,0.0,11.741306122448979,0.4024517906336088,0.21,2.4466197183098592,35.69043661971831
079950,인베니아,일반기업,IT,0.0,0.27,3561.0,0.0,3.24,0.5333608815426997,0.27,2.4466197183098592,35.69043661971831
276040,스코넥,일반기업,IT,0.0,0.28,1225.0,0.0,,2.7668547249647393,0.28,2.4466197183098592,35.69043661971831
009310,참엔지니어링,일반기업,IT,0.0,0.29,3665.0,0.0,,0.41454545454545455,0.25,2.4466197183098592,35.69043661971831
028080,휴맥스홀딩스,일반기업,IT,0.0,0.3,4943.0,0.0,,0.4602892561983471,0.25,2.4466197183098592,35.69043661971831
064520,테크엘,일반기업,IT,0.0,0.38,4448.0,0.0,8.6341796875,0.6613223140495867,0.32,2.4466197183098592,35.69043661971831
050110,캠시스,일반기업,IT,0.0,0.38,4437.0,0.0,17.66265306122449,0.9103581267217631,0.38,2.4466197183098592,35.69043661971831
032680,소프트센,일반기업,IT,0.0,0.48,504.0,0.0,5.637480916030534,0.827038567493113,0.44,2.4466197183098592,35.69043661971831
240600,유진테크놀로지,일반기업,IT,0.0,0.49,6594.0,0.0,46.40491803278689,1.4302901023890786,0.42,2.4466197183098592,35.69043661971831
301300,바이브컴퍼니,일반기업,IT,0.0,0.5,4777.0,0.0,1.7823430962343096,3.302534435261708,0.44,2.4466197183098592,35.69043661971831
091120,이엠텍,일반기업,IT,0.0,0.5,12451.0,0.0,18.565152671755726,1.6903443526170798,0.48,2.4466197183098592,35.69043661971831
039290,인포뱅크,일반기업,IT,0.0,0.54,8249.0,0.23,37.4649500998004,1.058595041322314,0.48,2.4466197183098592,35.69043661971831
393970,대진첨단소재,일반기업,IT,0.0,0.54,5231.0,0.0,443.68864864864867,1.462557251908397,0.47,2.4466197183098592,35.69043661971831
085810,알티캐스트,일반기업,IT,0.0,0.55,763.0,0.0,,0.9526997245179063,0.53,2.4466197183098592,35.69043661971831
121850,코이즈,일반기업,IT,0.0,0.58,3368.0,0.0,,2.6235399449035812,0.58,2.4466197183098592,35.69043661971831
012340,뉴인텍,일반기업,IT,0.0,0.59,505.0,0.0,208.23529411764707,1.5464600550964187,0.59,2.4466197183098592,35.69043661971831
271830,팸텍,일반기업,IT,0.0,0.61,2318.0,0.0,7.976443514644352,0.8491163793103448,0.57,2.4466197183098592,35.69043661971831
297890,HB솔루션,일반기업,IT,0.0,0.63,3021.0,1.58,6.453173652694611,1.4731129476584022,0.6,2.4466197183098592,35.69043661971831
361610,SK아이이테크놀로지,일반기업,IT,0.0,0.67,32604.0,0.0,30.423359375,1.5139807162534435,0.57,2.4466197183098592,35.69043661971831
097800,윈팩,일반기업,IT,0.0,0.7,568.0,0.0,,1.3175206611570247,0.69,2.4466197183098592,35.69043661971831
303530,이노뎁,일반기업,IT,0.0,0.76,5239.0,0.0,104.21737603305785,1.6024793388429752,0.76,2.4466197183098592,35.69043661971831
079190,케스피온,일반기업,IT,0.0,0.77,470.0,0.0,7.8730125523012555,1.3761845730027549,0.74,2.4466197183098592,35.69043661971831
376980,원티드랩,일반기업,IT,0.0,0.81,4087.0,0.0,24.812255489021958,1.7148484848484848,0.8,2.4466197183098592,35.69043661971831
049950,미래컴퍼니,일반기업,IT,0.0,0.84,15898.0,0.0,28.093293413173654,1.455771349862259,0.8,2.4466197183098592,35.69043661971831
361670,삼영에스앤씨,일반기업,IT,0.0,0.84,3591.0,0.0,,1.2598209366391184,0.75,2.4466197183098592,35.69043661971831
367000,플래티어,일반기업,IT,0.0,0.87,4552.0,0.0,19.952366412213742,1.227465564738292,0.74,2.4466197183098592,35.69043661971831
033230,인성정보,일반기업,IT,0.0,0.92,1756.0,0.0,110.76965648854961,1.3681129476584022,0.8,2.4466197183098592,35.69043661971831
140430,카티스,일반기업,IT,0.0,0.93,687.0,0.0,,1.297111111111111,0.87,2.4466197183098592,35.69043661971831
360070,탑머티리얼,일반기업,IT,0.0,0.99,17646.0,0.0,30.389800399201597,3.213374655647383,0.88,2.4466197183098592,35.69043661971831
431190,케이쓰리아이,일반기업,IT,0.0,0.99,4063.0,0.0,26.394787878787877,1.9304358974358975,0.95,2.4466197183098592,35.69043661971831
450520,인스웨이브시스템즈,일반기업,IT,0.0,1.0,2992.0,0.0,11.792161458333334,2.284926108374384,0.86,2.4466197183098592,35.69043661971831
302430,이노메트리,일반기업,IT,0.0,1.02,6488.0,0.0,30.261477045908183,1.6672038567493113,0.9,2.4466197183098592,35.69043661971831
064480,브리지텍,일반기업,IT,0.0,1.05,4040.0,2.35,23.69243512974052,1.5004545454545455,1.01,2.4466197183098592,35.69043661971831
320000,한울반도체,일반기업,IT,0.0,1.09,1342.0,0.0,37.679261477045905,2.196418732782369,1.06,2.4466197183098592,35.69043661971831
300120,라온피플,일반기업,IT,0.0,1.14,868.0,0.0,,2.364641873278237,1.1,2.4466197183098592,35.69043661971831
328380,솔트웨어,일반기업,IT,0.0,1.18,670.0,0.0,46.69644351464435,1.7723413258110015,1.02,2.4466197183098592,35.69043661971831
419080,엔젯,일반기업,IT,0.0,1.24,4016.0,0.0,186.21902892561982,2.7597658402203855,1.18,2.4466197183098592,35.69043661971831
464500,아이언디바이스,일반기업,IT,0.0,1.42,2232.0,0.0,,2.213631436314363,1.25,2.4466197183098592,35.69043661971831
051980,중앙첨단소재,일반기업,IT,0.0,1.56,962.0,0.0,,6.528181818181818,1.36,2.4466197183098592,35.69043661971831
352910,오비고,일반기업,IT,0.0,1.63,2784.0,0.0,191.39150627615064,2.422685950413223,1.38,2.4466197183098592,35.69043661971831
411080,샌즈랩,일반기업,IT,0.0,1.81,3274.0,0.0,154.25389221556887,18.908085399449035,1.62,2.4466197183098592,35.69043661971831
047560,이스트소프트,일반기업,IT,0.0,1.83,6692.0,0.0,21.881176470588237,3.0310468319559227,1.62,2.4466197183098592,35.69043661971831
