중분류,상승구간(0선위),하락구간(0선밑)
부동산,16.04448742746615,14.048543689320388
상업서비스와공급품,15.74869109947644,13.411149825783973
가정용품과개인용품,14.843373493975903,12.807692307692308
"호텔,레스토랑,레저 등",14.377551020408163,12.65159574468085
전자와전기제품,14.255707762557078,13.705016722408027
소매(유통),13.978319783197833,13.569252077562327
자본재,13.97097705515879,13.33850980392157
증권,13.969924812030076,13.665377176015474
기술하드웨어와장비,13.915971643035864,13.390869565217391
은행,13.90990990990991,13.805429864253394
건강관리장비와서비스,13.84349098000975,13.354239839438033
내구소비재와의류,13.84319526627219,13.554324407510004
통신서비스,13.84,13.064516129032258
"식품,음료,담배",13.829346092503988,13.161236885698509
소재,13.571568053114627,13.216465863453815
자동차와부품,13.52038895859473,13.367727418836386
제약과생물공학,13.450383141762453,13.47815631262525
디스플레이,13.445630420280187,13.889273356401384
소프트웨어와서비스,13.36259977194983,13.47369976359338
보험,13.305263157894737,13.098591549295774
유틸리티,13.233062330623307,13.601078167115903
에너지,13.176315789473684,13.515561569688769
기타,13.168774703557313,12.634219468319008
운송,13.039665970772443,13.192719486081371
반도체와반도체장비,13.033853400058875,13.03776481424624
교육서비스,12.966960352422907,12.558086560364465
다각화된금융,12.724907063197026,13.197428139183057
식품과기본식료품소매,12.576923076923077,13.458333333333334
