중분류,mean,median,count
부동산,3.221024258760108,3.0,1113
유틸리티,3.1925545571245184,2.0,779
전자와전기제품,3.0884098719150264,2.0,3201
"호텔,레스토랑,레저 등",3.081989247311828,2.0,744
상업서비스와공급품,3.076104746317512,2.0,1222
제약과생물공학,3.0727411215843095,2.0,10503
내구소비재와의류,3.071582889240962,2.0,6943
증권,3.0680813439434127,2.0,1131
기타,3.0607681088964513,2.0,10285
에너지,3.0583756345177666,2.0,1576
소매(유통),3.0507712082262213,2.0,1556
"식품,음료,담배",3.0494186046511627,2.0,3784
은행,3.046747967479675,2.0,492
교육서비스,3.0358744394618835,2.0,892
통신서비스,3.026615969581749,2.0,263
소프트웨어와서비스,3.021807708133315,2.0,7291
소재,3.0130480667754007,2.0,10423
보험,3.01,2.0,600
기술하드웨어와장비,2.999181920441763,2.0,9779
자본재,2.9968928016571725,2.0,13517
자동차와부품,2.9905476369092274,2.0,6665
식품과기본식료품소매,2.9746031746031747,2.0,315
디스플레이,2.973929236499069,2.0,3222
가정용품과개인용품,2.9713375796178343,2.0,314
건강관리장비와서비스,2.968916724657852,2.0,4311
운송,2.967188288743059,2.0,1981
반도체와반도체장비,2.903804110188019,2.0,6861
다각화된금융,2.774193548387097,2.0,3038
