업종명,현재 PBR(중앙값),3년 평균,3년 최저,3년 최고,역사적 백분위(%)
문구류,0.34,0.487,0.34,0.83,0
판매업체,0.765,1.13,0.715,1.9,0.1
게임엔터테인먼트,0.905,1.161,0.885,1.89,0.7
가구,0.61,0.823,0.58,1.34,2.3
방송과엔터테인먼트,0.98,1.358,0.88,1.99,2.6
소프트웨어,1.11,1.41,1.01,1.82,2.9
"섬유,의류,신발,호화품",0.525,0.63,0.49,0.84,3.3
전문소매,0.605,0.813,0.56,1.42,6.5
생명과학도구및서비스,1.28,1.632,1.14,2.545,7.3
상업서비스와공급품,0.915,1.158,0.815,1.505,8
포장재,0.49,0.563,0.45,0.815,9.9
컴퓨터와주변기기,0.795,0.931,0.645,1.155,13.5
건축자재,0.43,0.471,0.39,0.58,13.8
광고,0.89,1.099,0.765,1.615,14.9
식품,0.615,0.66,0.56,0.82,15.7
항공사,1.63,2.11,1.4,3.45,15.7
화장품,1.385,1.545,1.24,2.03,16
가정용품,0.775,0.922,0.675,1.355,16.7
건축제품,0.495,0.569,0.455,0.775,17.1
인터넷과카탈로그소매,0.695,0.98,0.51,1.56,17.6
종이와목재,0.29,0.313,0.26,0.405,18.5
교육서비스,1.05,1.114,0.915,1.49,18.5
해운사,0.51,0.556,0.42,0.975,19.7
"호텔,레스토랑,레저",0.84,0.952,0.65,1.365,19.8
양방향미디어와서비스,1.65,2.017,1.36,3.3,21.1
전자제품,0.58,0.709,0.4,0.99,24.9
건강관리업체및서비스,1.055,1.149,0.71,1.51,25.3
비철금속,0.56,0.611,0.485,0.875,27.4
출판,1.055,1.187,0.86,1.69,27.8
IT서비스,1.35,1.435,1.09,1.745,27.8
식품과기본식료품소매,0.75,0.841,0.65,1.68,29.6
제약,1.265,1.352,1.11,1.61,30.3
레저용장비와제품,0.595,0.656,0.44,1.04,33.6
건강관리장비와용품,1.695,2.008,1.42,3.245,35.7
음료,0.645,0.762,0.57,1.03,36.1
전자장비와기기,1.14,1.281,0.87,1.845,43.8
자동차,0.665,0.707,0.44,1.73,44.2
핸드셋,0.92,0.997,0.68,1.395,46.7
자동차부품,0.595,0.632,0.47,0.88,47.7
항공화물운송과물류,0.49,0.498,0.4,0.9,49.4
다각화된소비자서비스,0.47,0.464,0.39,0.55,50
전기제품,1.435,1.585,1.03,2.785,50.7
생물공학,2.355,2.367,1.87,3.31,51.1
가정용기기와용품,1.19,1.26,0.96,1.79,51.2
디스플레이장비및부품,0.91,0.929,0.635,1.23,51.8
철강,0.44,0.448,0.35,0.64,55.6
화학,0.79,0.785,0.63,1.03,56.9
창업투자,1.05,1.025,0.73,1.36,58.1
손해보험,0.735,0.72,0.4,1.19,59.6
가스유틸리티,0.33,0.324,0.27,0.54,62.3
부동산,0.415,0.462,0.305,0.78,65.3
전기유틸리티,1.94,1.915,1.35,4.18,65.8
복합유틸리티,0.38,0.301,0.16,0.57,70.7
건강관리기술,3.305,2.601,1.27,5.92,77.5
조선,2.48,1.845,1.145,3.42,79.5
복합기업,0.52,0.477,0.36,0.72,81.4
기계,1.13,1.007,0.77,1.29,81.5
도로와철도운송,0.795,0.718,0.61,0.92,82.5
기타금융,0.44,0.378,0.29,0.55,84.4
카드,0.67,0.541,0.39,0.85,85
사무용전자제품,0.4,0.347,0.29,0.52,86.4
석유와가스,0.73,0.605,0.455,0.83,87.9
무역회사와판매업체,0.605,0.512,0.385,0.72,89.1
건설,0.7,0.573,0.42,0.795,89.8
에너지장비및서비스,1.52,1.114,0.67,1.9,89.9
백화점과일반상점,0.4,0.332,0.25,0.55,91.9
우주항공과국방,5.64,2.835,1.98,6.69,95.6
증권,0.715,0.431,0.32,0.925,95.9
디스플레이패널,0.95,0.611,0.38,1.21,97.5
은행,0.79,0.487,0.325,0.9,97.9
운송인프라,1.335,0.969,0.74,1.375,98.1
전기장비,3.115,1.823,0.995,3.365,98.1
다각화된통신서비스,1.44,0.671,0.45,1.665,98.3
담배,1.93,1.323,1.01,2.1,98.3
생명보험,0.86,0.416,0.185,0.93,98.5
반도체와반도체장비,2.57,1.76,1.06,2.59,99.3
무선통신서비스,1.455,1.024,0.83,1.525,99.4
통신장비,1.81,1.199,0.84,1.81,99.9
