wics_name,stock_name,roe,pbr,return_6m
레저용장비와제품,오로라,13.0,0.46,303.2520325203252
반도체와반도체장비,원익홀딩스,3.0,0.28,284.0522875816994
화장품,차AI헬스케어,2.6,0.58,195.53398058252426
"호텔,레스토랑,레저",GS피앤엘,2.29,0.0,172.37136465324386
다각화된통신서비스,세종텔레콤,4.0,0.29,171.93877551020407
포장재,삼륭물산,11.0,0.66,163.7571157495256
증권,부국증권,5.68,0.31,143.3644859813084
증권,미래에셋증권,12.36,0.51,124.59893048128342
건강관리업체및서비스,케어랩스,33.0,0.62,120.9090909090909
자동차부품,SNT홀딩스,9.94,0.45,117.79788838612367
조선,HD현대,10.25,0.71,111.75675675675676
IT서비스,인포바인,7.0,0.62,107.18954248366013
화장품,원익,4.0,0.26,106.57142857142857
에너지장비및서비스,태웅,4.0,0.61,104.42875481386393
식품,선진,23.5,0.3,104.41988950276243
IT서비스,헥토파이낸셜,6.0,0.77,101.87196672059163
기계,씨피시스템,5.0,0.0,100.7168458781362
자동차부품,티에이치엔,36.85,0.48,96.32721202003339
복합기업,한화,3.3,0.39,96.2962962962963
에너지장비및서비스,HD현대에너지솔루션,10.59,0.72,93.48739495798318
제약,서흥,9.22,0.37,92.99499642601857
증권,한국금융지주,17.02,0.52,92.20430107526882
증권,키움증권,18.12,0.72,90.234375
반도체와반도체장비,메카로,6.0,0.57,89.42937324602433
"섬유,의류,신발,호화품",전방,13.99,0.11,88.35257082896118
"호텔,레스토랑,레저",파라다이스,5.62,0.68,87.89237668161435
은행,제주은행,2.25,0.45,86.85258964143426
복합유틸리티,지역난방공사,14.84,0.26,86.22881355932203
생명보험,삼성생명,4.96,0.35,85.74850299401199
건축자재,노루홀딩스,6.66,0.35,85.0909090909091
조선,대양전기공업,10.0,0.66,81.78993163455561
건축자재,동양,2.8,0.13,78.41726618705036
증권,신영증권,7.8,0.36,78.31978319783198
증권,다우기술,15.95,0.34,77.67767767767768
생명보험,미래에셋생명,8.42,0.2,77.13004484304933
증권,한화투자증권,3.73,0.46,76.29179331306992
전기제품,아비코전자,8.0,0.61,76.2906309751434
복합기업,효성,14.35,0.4,75.4601226993865
건강관리업체및서비스,코스맥스비티아이,11.08,0.43,75.45541706615532
소프트웨어,텔코웨어,5.56,0.43,75.37227949599084
창업투자,미래에셋벤처투자,8.0,0.7,75.054704595186
증권,DB증권,7.45,0.22,73.62637362637363
식품,엠에스씨,13.0,0.7,73.58803986710963
전자장비와기기,코리아써키트,11.54,0.67,73.23279924599434
통신장비,에프알텍,4.0,0.26,72.96296296296296
"호텔,레스토랑,레저",서부T&D,8.0,0.42,71.78571428571429
화학,원익머트리얼즈,10.0,0.56,71.60804020100502
통신장비,자화전자,11.15,0.66,69.7324414715719
핸드셋,아모텍,5.0,0.67,69.0885072655218
손해보험,에이플러스에셋,13.82,0.61,68.42105263157895
소프트웨어,SGA솔루션즈,40.0,0.54,68.02721088435374
핸드셋,코아시아씨엠,6.0,0.4,67.74744027303754
반도체와반도체장비,티이엠씨씨엔에스,4.0,0.49,66.73040152963671
비철금속,한컴위드,6.0,0.47,66.60377358490565
소프트웨어,디모아,5.0,0.32,65.82809224318657
전기유틸리티,한국전력,19.4,0.38,65.73426573426573
건설,동부건설,10.28,0.14,65.70605187319885
건강관리장비와용품,넥스트바이오메디컬,15.0,0.0,65.04161712247326
전자장비와기기,인바이오젠,10.64,0.49,64.93150684931507
디스플레이패널,LG디스플레이,3.44,0.47,63.79114642451759
반도체와반도체장비,싸이맥스,8.0,0.65,62.52408477842004
포장재,신대양제지,3.83,0.39,62.06395348837209
석유와가스,SK,6.35,0.35,61.38996138996139
전자장비와기기,포인트모바일,5.0,0.74,61.33093525179856
제약,일성아이에스,3.41,0.27,60.67929457870673
전기장비,LS,5.65,0.6,60.26871401151631
소프트웨어,케이사인,3.0,0.62,59.82256020278834
증권,대신증권,6.65,0.36,59.18869084204057
에너지장비및서비스,SK이터닉스,11.93,0.0,59.05797101449275
우주항공과국방,하이즈항공,5.0,0.56,58.35065835065835
통신장비,파이오링크,9.0,0.62,58.26666666666667
복합기업,삼성물산,6.02,0.57,58.13758389261745
증권,삼성증권,12.54,0.61,57.00110253583241
"섬유,의류,신발,호화품",F&F홀딩스,5.56,0.22,55.794701986754966
증권,교보증권,5.9,0.35,55.32646048109966
은행,우리금융지주,8.91,0.4,55.05952380952381
자동차부품,네오티스,8.0,0.77,54.94880546075085
해운사,팬스타엔터프라이즈,7.0,0.67,54.82041587901701
전기장비,일진홀딩스,7.36,0.36,54.43037974683544
건설,현대건설,4.58,0.5,54.3956043956044
IT서비스,NHN,2.2,0.39,53.74331550802139
자동차부품,대원산업,14.0,0.33,53.64864864864865
디스플레이장비및부품,베셀,56.0,0.61,53.62035225048924
손해보험,DB손해보험,16.11,0.52,53.08641975308642
손해보험,서울보증보험,4.46,0.46,52.7007299270073
핸드셋,이랜텍,9.0,0.51,52.54582484725051
게임엔터테인먼트,넷마블,4.15,0.67,52.39263803680982
복합기업,CJ,2.72,0.73,51.54038301415487
전자제품,가온그룹,5.0,0.26,51.17117117117117
식품,농심홀딩스,9.03,0.27,51.06382978723404
복합기업,현대지에프홀딩스,11.18,0.3,51.0597302504817
생명보험,동양생명,10.52,0.29,50.74906367041199
자동차부품,한국앤컴퍼니,7.52,0.36,50.45992115637319
증권,유진투자증권,5.9,0.22,50.4149377593361
항공화물운송과물류,KCTC,6.92,0.4,50.20408163265306
기타금융,한국캐피탈,14.0,0.28,50.18115942028986
증권,다우데이타,15.0,0.37,49.56369982547993
"섬유,의류,신발,호화품",영원무역홀딩스,12.83,0.45,49.39493949394939
은행,iM금융지주,6.45,0.25,49.17127071823204
