wics_name,stock_name,stock_code,roe,pbr,pbr_per_roe,return_1yr,Quintile
식품,대산F&B,065150,45.0,0.67,0.014888888888888889,-17.142857142857142,Q1(최고 가성비)
건설,계룡건설,013580,11.1,0.17,0.015315315315315315,-8.77808988764045,Q1(최고 가성비)
도로와철도운송,유성티엔에스,024800,11.0,0.17,0.015454545454545455,-15.266821345707656,Q1(최고 가성비)
디스플레이장비및부품,DMS,068790,35.0,0.55,0.015714285714285715,-7.591240875912408,Q1(최고 가성비)
건축자재,KCC,002380,23.51,0.37,0.015737983836665248,1.94174757281553,Q1(최고 가성비)
자동차부품,화승코퍼레이션,013520,31.51,0.51,0.016185337987940335,-12.987012987012987,Q1(최고 가성비)
복합기업,SK스퀘어,402340,37.82,0.63,0.016657852987837122,23.04635761589404,Q1(최고 가성비)
디스플레이장비및부품,나래나노텍,137080,43.0,0.73,0.01697674418604651,-55.82865168539326,Q1(최고 가성비)
화학,SB성보,003080,24.66,0.42,0.0170316301703163,-16.72354948805461,Q1(최고 가성비)
식품,팜스코,036580,23.16,0.4,0.017271157167530225,-33.49753694581281,Q1(최고 가성비)
건축자재,더코디,224060,23.0,0.4,0.017391304347826087,-47.700170357751276,Q1(최고 가성비)
식품,선진,136490,23.5,0.41,0.017446808510638297,-25.81967213114754,Q1(최고 가성비)
복합유틸리티,지역난방공사,071320,14.84,0.26,0.01752021563342318,26.20320855614973,Q1(최고 가성비)
건설,HDC,012630,10.82,0.19,0.01756007393715342,83.09352517985612,Q1(최고 가성비)
가스유틸리티,한진중공업홀딩스,003480,14.18,0.25,0.01763046544428773,14.19753086419753,Q1(최고 가성비)
전기유틸리티,한국전력,015760,19.4,0.35,0.01804123711340206,-2.9411764705882355,Q1(최고 가성비)
복합기업,현대지에프홀딩스,005440,11.18,0.21,0.018783542039355994,18.49315068493151,Q1(최고 가성비)
가정용품,삼정펄프,009770,15.76,0.3,0.01903553299492386,0.0,Q1(최고 가성비)
전자제품,앤씨앤,092600,44.0,0.84,0.019090909090909092,-66.68432203389831,Q1(최고 가성비)
건설,동부건설,005960,10.28,0.2,0.019455252918287938,-30.87649402390438,Q1(최고 가성비)
건설,성도이엔지,037350,11.0,0.22,0.02,0.38265306122449,Q1(최고 가성비)
컴퓨터와주변기기,파커스,065690,12.0,0.24,0.02,-22.854785478547853,Q1(최고 가성비)
자동차부품,티에이치엔,019180,36.85,0.75,0.0203527815468114,-17.03601108033241,Q1(최고 가성비)
소프트웨어,SGA솔루션즈,184230,40.0,0.85,0.02125,-37.0,Q1(최고 가성비)
자동차부품,대원산업,005710,14.0,0.3,0.02142857142857143,18.4,Q1(최고 가성비)
"호텔,레스토랑,레저",신세계푸드,031440,23.71,0.51,0.021509911429776464,-21.727748691099478,Q1(최고 가성비)
가스유틸리티,INVENI,015360,15.46,0.34,0.02199223803363519,20.51948051948052,Q1(최고 가성비)
IT서비스,아이티센씨티에스,031820,25.89,0.58,0.022402471996910003,-19.03448275862069,Q1(최고 가성비)
자동차부품,태원물산,001420,47.06,1.07,0.022736931576710584,-21.734104046242773,Q1(최고 가성비)
철강,DSR제강,069730,13.97,0.33,0.023622047244094488,-17.48502994011976,Q1(최고 가성비)
증권,다우기술,023590,15.95,0.38,0.023824451410658306,-3.0097087378640777,Q1(최고 가성비)
자동차부품,일지테크,019540,27.0,0.65,0.024074074074074074,-18.38074398249453,Q1(최고 가성비)
자동차부품,케이비아이동국실업,001620,13.01,0.32,0.024596464258262875,-13.701067615658364,Q1(최고 가성비)
통신장비,삼지전자,037460,17.0,0.42,0.024705882352941175,9.44055944055944,Q1(최고 가성비)
핸드셋,성우전자,081580,12.0,0.3,0.025,18.72146118721461,Q1(최고 가성비)
자동차부품,세원정공,021820,6.73,0.17,0.02526002971768202,-8.782201405152225,Q1(최고 가성비)
증권,DB증권,016610,7.45,0.19,0.025503355704697986,30.1549463647199,Q1(최고 가성비)
자동차부품,SG&G,040610,7.0,0.18,0.025714285714285714,-9.118176364727054,Q1(최고 가성비)
"섬유,의류,신발,호화품",TP,007980,14.54,0.39,0.026822558459422285,-21.654929577464788,Q1(최고 가성비)
전자장비와기기,에스텍,069510,19.0,0.51,0.026842105263157896,31.5035799522673,Q1(최고 가성비)
건축자재,유니온,000910,24.64,0.67,0.02719155844155844,-3.9728682170542635,Q1(최고 가성비)
화학,미창석유,003650,13.54,0.37,0.027326440177252585,26.56449553001277,Q1(최고 가성비)
증권,한국금융지주,071050,18.66,0.51,0.027331189710610933,11.37724550898204,Q1(최고 가성비)
전기제품,성호전자,043260,46.0,1.26,0.027391304347826086,-52.48826291079812,Q1(최고 가성비)
교육서비스,비상교육,100220,11.28,0.31,0.0274822695035461,-5.719921104536489,Q1(최고 가성비)
손해보험,현대해상,001450,20.6,0.57,0.02766990291262136,-27.495908346972175,Q1(최고 가성비)
식품,동우팜투테이블,088910,13.0,0.36,0.027692307692307693,-31.51183970856102,Q1(최고 가성비)
건강관리업체및서비스,코스맥스비티아이,044820,11.08,0.31,0.027978339350180504,6.64621676891616,Q1(최고 가성비)
증권,다우데이타,032190,15.0,0.42,0.028,-8.757961783439491,Q1(최고 가성비)
자동차부품,DH오토리드,290120,15.0,0.42,0.028,-30.379746835443036,Q1(최고 가성비)
상업서비스와공급품,사람인,143240,41.0,1.16,0.02829268292682927,-14.183222958057396,Q1(최고 가성비)
자동차부품,SJG세종,033530,14.05,0.4,0.028469750889679714,-30.96446700507614,Q1(최고 가성비)
소프트웨어,인지소프트,100030,35.0,1.02,0.029142857142857144,-14.812805208898535,Q1(최고 가성비)
자동차부품,넥센,005720,6.86,0.2,0.029154518950437316,12.42387332521315,Q1(최고 가성비)
제약,진양제약,007370,28.0,0.83,0.029642857142857144,-1.5050167224080269,Q1(최고 가성비)
에너지장비및서비스,SNT에너지,100840,25.15,0.75,0.02982107355864811,192.508020381204,Q1(최고 가성비)
식품,체리부로,066360,27.0,0.81,0.03,-34.95229835212489,Q1(최고 가성비)
건강관리업체및서비스,케어랩스,263700,33.0,1.01,0.030606060606060605,-53.24123273113709,Q1(최고 가성비)
기타금융,한국캐피탈,023760,14.0,0.43,0.030714285714285715,-12.241653418124006,Q1(최고 가성비)
자동차부품,아이윈,090150,21.0,0.65,0.030952380952380953,-37.88368336025848,Q1(최고 가성비)
운송인프라,선광,003100,10.0,0.31,0.031,-12.602739726027398,Q1(최고 가성비)
식품,농심홀딩스,072710,9.03,0.29,0.03211517165005537,-1.9374068554396424,Q1(최고 가성비)
증권,케이프,064820,23.0,0.74,0.03217391304347826,25.59585492227979,Q1(최고 가성비)
식품,동원수산,030720,14.73,0.48,0.032586558044806514,-23.76923076923077,Q1(최고 가성비)
자동차부품,동원금속,018500,27.84,0.91,0.0326867816091954,9.6516276413478,Q1(최고 가성비)
복합기업,효성,004800,14.35,0.47,0.032752613240418116,6.152042721312899,Q1(최고 가성비)
식품,하림지주,003380,7.0,0.23,0.032857142857142856,-16.200294550810014,Q1(최고 가성비)
음료,무학,033920,8.49,0.28,0.03297997644287397,29.46954813359528,Q1(최고 가성비)
건설,서희건설,035890,12.0,0.4,0.03333333333333333,10.22979985174203,Q1(최고 가성비)
전기제품,솔브레인홀딩스,036830,32.0,1.07,0.0334375,-50.753768844221106,Q1(최고 가성비)
가스유틸리티,삼천리,004690,6.84,0.23,0.033625730994152045,-6.4655172413793105,Q1(최고 가성비)
자동차부품,SNT홀딩스,036530,9.94,0.34,0.03420523138832998,41.97002141327623,Q1(최고 가성비)
은행,BNK금융지주,138930,7.58,0.26,0.03430079155672823,33.80281690140845,Q1(최고 가성비)
건설,우진아이엔에스,010400,9.89,0.34,0.034378159757330634,-46.22641509433962,Q1(최고 가성비)
자동차부품,일정실업,008500,100.89,3.48,0.03449301219149569,-16.458658346333852,Q1(최고 가성비)
IT서비스,아이티센엔텍,010280,26.0,0.91,0.035,-4.202719406674907,Q1(최고 가성비)
식품과기본식료품소매,현대코퍼레이션홀딩스,227840,11.89,0.42,0.03532380151387721,-2.808988764044944,Q1(최고 가성비)
증권,교보증권,030610,5.9,0.21,0.03559322033898305,15.24752475247525,Q1(최고 가성비)
컴퓨터와주변기기,아이디스홀딩스,054800,11.0,0.4,0.03636363636363636,-19.78021978021978,Q1(최고 가성비)
은행,iM금융지주,139130,7.27,0.27,0.037138927097661624,6.59599528857479,Q1(최고 가성비)
화학,KPX홀딩스,092230,7.5,0.28,0.037333333333333336,-5.0,Q1(최고 가성비)
식품,매일홀딩스,005990,8.0,0.3,0.0375,16.9344870210136,Q1(최고 가성비)
"호텔,레스토랑,레저",시공테크,020710,18.0,0.68,0.03777777777777778,-15.824915824915825,Q1(최고 가성비)
건설,세보엠이씨,011560,14.0,0.53,0.03785714285714286,2.57466529351184,Q1(최고 가성비)
부동산,블루콤,033560,10.0,0.38,0.038,-1.5471167369901546,Q1(최고 가성비)
손해보험,흥국화재,000540,9.97,0.38,0.03811434302908726,-19.281437125748504,Q1(최고 가성비)
핸드셋,캐프,198080,16.0,0.61,0.038125,-11.411992263056092,Q1(최고 가성비)
"섬유,의류,신발,호화품",영원무역홀딩스,009970,12.83,0.49,0.03819173811379579,5.94405594405594,Q1(최고 가성비)
건설,서한,011370,6.0,0.23,0.03833333333333333,-10.621468926553673,Q1(최고 가성비)
게임엔터테인먼트,액토즈소프트,052790,13.0,0.5,0.038461538461538464,-31.182795698924732,Q1(최고 가성비)
건설,HS화성,002460,6.73,0.26,0.03863298662704309,-4.81444332998997,Q1(최고 가성비)
무역회사와판매업체,현대코퍼레이션,011760,12.91,0.5,0.038729666924864445,25.20961430967021,Q1(최고 가성비)
증권,미래에셋증권,006800,12.36,0.48,0.038834951456310676,17.31493099121706,Q1(최고 가성비)
자동차부품,DH오토넥스,000300,12.17,0.48,0.03944124897288414,0.0,Q1(최고 가성비)
제약,JW신약,067290,46.0,1.85,0.04021739130434782,-31.10195674562307,Q1(최고 가성비)
증권,키움증권,039490,18.12,0.73,0.04028697571743929,6.666666666666667,Q1(최고 가성비)
은행,우리금융지주,316140,8.91,0.36,0.04040404040404041,19.402985074626866,Q1(최고 가성비)
가스유틸리티,경동도시가스,267290,7.13,0.29,0.04067321178120617,-10.512820512820513,Q1(최고 가성비)
레저용장비와제품,오로라,039830,13.0,0.53,0.040769230769230766,-8.88888888888889,Q1(최고 가성비)
디스플레이장비및부품,오성첨단소재,052420,12.0,0.49,0.04083333333333333,-0.21306818181818182,Q1(최고 가성비)
디스플레이패널,코텍,052330,8.0,0.33,0.04125,22.48995983935743,Q1(최고 가성비)
자동차부품,세원물산,024830,6.0,0.25,0.041666666666666664,8.7719298245614,Q1(최고 가성비)
건설,삼호개발,010960,8.08,0.34,0.04207920792079208,-9.049773755656108,Q1(최고 가성비)
조선,HD현대마린엔진,071970,41.36,1.77,0.042794970986460346,128.03347280334728,Q1(최고 가성비)
증권,신영증권,001720,7.8,0.34,0.04358974358974359,14.77449455676516,Q1(최고 가성비)
은행,JB금융지주,175330,12.36,0.54,0.043689320388349516,43.91785150078989,Q1(최고 가성비)
컴퓨터와주변기기,씨아이테크,004920,22.84,1.0,0.043782837127845885,-11.80722891566265,Q1(최고 가성비)
해운사,대한해운,005880,8.63,0.38,0.0440324449594438,-14.293333333333333,Q1(최고 가성비)
제약,동구바이오제약,006620,39.0,1.72,0.0441025641025641,-18.61198738170347,Q1(최고 가성비)
손해보험,에이플러스에셋,244920,13.82,0.61,0.04413892908827786,4.07643312101911,Q1(최고 가성비)
디스플레이장비및부품,선익시스템,171090,101.0,4.48,0.044356435643564354,-3.597122302158273,Q1(최고 가성비)
증권,삼성증권,016360,12.54,0.56,0.044657097288676235,15.68877551020408,Q1(최고 가성비)
자동차부품,HDC현대EP,089470,9.61,0.43,0.044745057232049947,-24.50765864332604,Q1(최고 가성비)
건설,까뮤이앤씨,013700,19.39,0.87,0.04486848891181021,-21.710526315789473,Q1(최고 가성비)
반도체와반도체장비,엔투텍,227950,18.0,0.81,0.045,-54.32258064516129,Q1(최고 가성비)
운송인프라,서호전기,065710,24.0,1.09,0.04541666666666667,24.22520661157025,Q1(최고 가성비)
다각화된소비자서비스,이상네트웍스,080010,11.0,0.5,0.045454545454545456,-5.8201058201058204,Q1(최고 가성비)
기계,코메론,049430,9.0,0.41,0.04555555555555556,12.30068337129841,Q1(최고 가성비)
반도체와반도체장비,SK하이닉스,000660,44.15,2.02,0.04575311438278596,6.19946091644205,Q1(최고 가성비)
방송과엔터테인먼트,SAMG엔터,419530,55.0,2.52,0.04581818181818182,96.38069705093834,Q1(최고 가성비)
제약,경남제약,053950,10.0,0.46,0.046,-30.010834236186348,Q1(최고 가성비)
식품,우성,006980,6.27,0.29,0.046251993620414676,-25.973360655737704,Q1(최고 가성비)
항공화물운송과물류,세방,004360,5.61,0.26,0.04634581105169341,-5.298570227081581,Q1(최고 가성비)
식품,케이씨피드,025880,14.0,0.65,0.04642857142857143,19.72111553784861,Q1(최고 가성비)
"섬유,의류,신발,호화품",경방,000050,6.03,0.28,0.04643449419568822,-21.93087008343266,Q1(최고 가성비)
건축자재,노루홀딩스,000320,6.66,0.31,0.046546546546546545,18.94463667820069,Q1(최고 가성비)
전기장비,지엔씨에너지,119850,21.0,0.99,0.047142857142857146,112.95774647887325,Q1(최고 가성비)
게임엔터테인먼트,티쓰리,204610,18.0,0.85,0.04722222222222222,41.00156494522692,Q1(최고 가성비)
증권,코리아에셋투자증권,190650,8.0,0.38,0.0475,12.02290076335878,Q1(최고 가성비)
디스플레이장비및부품,영우디에스피,143540,20.0,0.95,0.0475,-32.15909090909091,Q1(최고 가성비)
손해보험,코리안리,003690,9.03,0.43,0.047619047619047616,10.32531824611033,Q1(최고 가성비)
생명보험,한화생명,088350,6.51,0.31,0.047619047619047616,-8.818342151675486,Q1(최고 가성비)
게임엔터테인먼트,네오위즈홀딩스,042420,10.0,0.48,0.048,-18.833693304535636,Q1(최고 가성비)
은행,기업은행,024110,7.7,0.37,0.048051948051948054,9.616829451540195,Q1(최고 가성비)
건축제품,대림바스,005750,8.3,0.4,0.04819277108433735,4.57516339869281,Q1(최고 가성비)
식품,동원산업,006040,11.61,0.56,0.04823428079242033,-0.5427524082862095,Q1(최고 가성비)
무역회사와판매업체,LX홀딩스,383800,7.01,0.34,0.04850213980028531,-7.460545193687231,Q1(최고 가성비)
"섬유,의류,신발,호화품",LF,093050,6.18,0.3,0.04854368932038835,-5.8558558558558556,Q1(최고 가성비)
조선,HD한국조선해양,009540,17.78,0.87,0.048931383577052866,70.00835421888053,Q1(최고 가성비)
핸드셋,에스코넥,096630,50.0,2.45,0.049,-67.96489303346132,Q1(최고 가성비)
건설,DL이앤씨,375500,7.34,0.36,0.04904632152588556,11.90798376184032,Q1(최고 가성비)
은행,하나금융지주,086790,9.17,0.45,0.04907306434023991,8.86524822695035,Q1(최고 가성비)
가스유틸리티,E1,017940,5.29,0.26,0.04914933837429111,-7.0878274268104775,Q1(최고 가성비)
화학,KPX케미칼,025000,7.51,0.37,0.0492676431424767,-6.746463547334058,Q1(최고 가성비)
화학,삼영무역,002810,10.06,0.5,0.04970178926441352,1.7624521072796935,Q1(최고 가성비)
화학,영보화학,014440,9.0,0.45,0.05,22.81420765027322,Q1(최고 가성비)
철강,원일특강,012620,5.0,0.25,0.05,-17.785630153121318,Q1(최고 가성비)
전자장비와기기,에스에이엠티,031330,17.0,0.85,0.05,-13.738019169329073,Q1(최고 가성비)
자동차부품,동아화성,041930,16.0,0.8,0.05,-32.0,Q1(최고 가성비)
가정용기기와용품,쿠쿠홀딩스,192400,11.56,0.58,0.050173010380622836,24.03100775193798,Q1(최고 가성비)
철강,CS홀딩스,000590,5.36,0.27,0.05037313432835821,8.649468892261,Q1(최고 가성비)
식품,푸드웰,005670,10.0,0.51,0.051,2.47422680412371,Q1(최고 가성비)
컴퓨터와주변기기,빅솔론,093190,10.0,0.51,0.051,-7.360861759425494,Q1(최고 가성비)
IT서비스,아이티센글로벌,124500,46.0,2.35,0.051086956521739134,0.79491255961844,Q1(최고 가성비)
통신장비,아이크래프트,052460,25.0,1.28,0.0512,-37.183098591549296,Q1(최고 가성비)
"섬유,의류,신발,호화품",영원무역,111770,12.66,0.65,0.05134281200631911,15.985576923076923,Q1(최고 가성비)
운송인프라,한국공항,005430,10.46,0.54,0.05162523900573614,-19.333333333333332,Q1(최고 가성비)
비철금속,제일연마,001560,13.12,0.68,0.051829268292682924,-3.669724770642202,Q1(최고 가성비)
자동차부품,한국앤컴퍼니,000240,7.52,0.39,0.05186170212765957,-2.747603833865815,Q1(최고 가성비)
