sector_name,stock_code,buy_roe,buy_pbr,buy_price,peak_date,peak_price,peak_roe,peak_pbr,stock_name
무역회사와판매업체,011810,,1.59,4450.0,2025-01-10,4780.0,,1.71,
무역회사와판매업체,38380K,,0.0,8000.0,2025-06-09,9500.0,,0.0,
레저용장비와제품,121440,1.5586122317,0.21,3495.0,2025-07-14,6450.0,1.5586122317,0.35,
레저용장비와제품,365900,0.1478036992,0.55,2920.0,2025-03-04,3960.0,0.1478036992,0.75,
건강관리장비와용품,149980,,1.47,6430.0,2025-02-20,6860.0,,1.57,
건강관리장비와용품,389650,-0.0377249209,0.0,42650.0,2025-12-04,98000.0,-0.0377249209,17.54,
항공화물운송과물류,004365,,0.0,7630.0,2025-07-14,11200.0,,0.0,
항공화물운송과물류,009180,0.7890276471,0.49,2075.0,2026-04-10,3210.0,0.7890276471,0.7,
디스플레이패널,052330,0.1172990777,0.34,7930.0,2026-02-23,10580.0,0.1172990777,0.4,
디스플레이패널,034220,0.0988591222,0.48,9060.0,2026-02-26,15850.0,0.0988591222,1.21,
