stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
052300,오션인더블유,일반기업,0.34,0.1,5161.0,16980.0,0.0
009440,KC그린홀딩스,일반기업,0.46,0.11,1642.0,7136.0,0.0
126880,제이엔케이글로벌,일반기업,0.94,0.4,3949.0,9223.0,1.35
029480,광무,일반기업,0.99,0.47,1989.0,4242.0,0.0
021050,서원,일반기업,1.17,0.38,1043.0,3209.0,0.0
001420,태원물산,일반기업,1.2,0.46,2382.0,6174.0,7.02
044180,KD,일반기업,1.21,0.14,169.0,1477.0,0.0
007860,서연,일반기업,1.46,0.24,6172.0,37694.0,2.22
122450,KX,일반기업,1.53,0.37,1986.0,8213.0,6.25
007370,진양제약,일반기업,1.63,0.42,2692.0,10491.0,3.43
064090,인크레더블버즈,일반기업,1.73,0.41,462.0,1947.0,0.0
000230,일동홀딩스,일반기업,1.77,0.83,5582.0,11857.0,0.0
014130,한익스프레스,일반기업,1.83,0.31,1419.0,8308.0,3.86
465770,STX그린로지스,일반기업,1.83,0.6,3470.0,10564.0,0.0
378850,화승알앤에이,일반기업,1.9,0.41,1707.0,7924.0,2.32
035890,서희건설,일반기업,1.96,0.31,826.0,5175.0,2.77
082210,옵트론텍,일반기업,1.96,0.76,967.0,2501.0,0.0
035610,솔본,일반기업,2.07,0.43,1656.0,8045.0,0.0
004250,엔피씨,일반기업,2.08,0.34,1893.0,11496.0,2.66
009770,삼정펄프,일반기업,2.09,0.31,15182.0,103335.0,3.15
009200,무림페이퍼,일반기업,2.11,0.19,978.0,10852.0,4.85
024800,유성티엔에스,일반기업,2.2,0.27,1735.0,14233.0,0.0
128540,에코캡,일반기업,2.22,0.41,781.0,4188.0,0.0
003480,한진중공업홀딩스,일반기업,2.22,0.32,2167.0,14905.0,2.5
200880,서연이화,일반기업,2.38,0.32,5451.0,40698.0,1.93
480370,씨케이솔루션,일반기업,2.4,0.6,809.0,3260.0,0.0
020710,시공테크,일반기업,2.47,0.48,1610.0,8351.0,3.02
460850,동국씨엠,일반기업,2.47,0.15,2137.0,34015.0,9.49
038010,제일테크노스,일반기업,2.49,0.39,2485.0,15849.0,1.94
227840,현대코퍼레이션홀딩스,일반기업,2.52,0.36,4836.0,33621.0,4.1
000590,CS홀딩스,일반기업,2.58,0.25,29452.0,305543.0,0.66
017370,우신시스템,일반기업,2.58,0.68,2186.0,8316.0,0.89
123700,에스제이엠,일반기업,2.66,0.25,1333.0,13949.0,4.93
036460,한국가스공사,일반기업,2.69,0.29,13174.0,124079.0,4.11
011760,현대코퍼레이션,일반기업,2.72,0.51,10080.0,54282.0,2.55
001620,케이비아이동국실업,일반기업,2.72,0.31,229.0,1991.0,0.0
069510,에스텍,일반기업,2.72,0.62,5501.0,24198.0,5.68
003960,사조대림,일반기업,2.74,0.38,11494.0,83132.0,0.95
001450,현대해상,대기업,2.76,0.5,10847.0,60491.0,0.0
006980,우성,일반기업,2.78,0.27,7672.0,77989.0,1.41
192390,윈하이텍,일반기업,2.8,0.29,711.0,6988.0,1.51
111110,호전실업,일반기업,2.83,0.36,2560.0,19955.0,5.52
000540,흥국화재,대기업,2.83,0.35,1459.0,11857.0,0.0
053700,삼보모터스,일반기업,2.85,0.33,1973.0,17160.0,0.89
010100,한국무브넥스,일반기업,2.91,0.34,1469.0,12661.0,2.34
054930,유신,일반기업,2.94,0.49,8141.0,49241.0,3.76
194370,제이에스코퍼레이션,일반기업,2.96,0.63,3676.0,17356.0,4.59
000370,한화손해보험,대기업,2.97,0.34,2121.0,18660.0,0.0
123420,위메이드플레이,일반기업,3.0,0.29,2264.0,23553.0,0.0
004910,조광페인트,일반기업,3.02,0.26,1567.0,18535.0,4.22
021820,세원정공,일반기업,3.03,0.22,4646.0,63677.0,1.42
306200,세아제강,대기업,3.04,0.37,48949.0,397327.0,4.7
091340,S&K폴리텍,일반기업,3.06,0.3,828.0,8575.0,0.0
005440,현대지에프홀딩스,대기업,3.06,0.63,4483.0,21615.0,1.53
198080,엔피디,일반기업,3.09,0.51,886.0,5382.0,0.0
041650,상신브레이크,일반기업,3.11,0.22,840.0,11620.0,3.83
