date,theme_name,total_cnt,phase1_cnt,phase2_cnt,phase3_cnt,phase4_cnt,avg_trade_value,lag_avg_trade_value,phase1_increase,phase3_increase,trade_value_spike,global_rank,grade,future_grade_d1,future_grade_d2
2024-01-02,금,10,0,0,0,10,4216932702.1,,,,1.0,144,6등급,6등급,6등급
2024-01-03,금,10,2,5,2,1,5977571242.6,4216932702.1,2.0,2.0,1.417516395180605,165,6등급,6등급,3등급
2024-01-04,금,10,1,5,2,2,8150158191.4,5977571242.6,-1.0,0.0,1.3634564709688033,138,6등급,3등급,1등급
2024-01-05,금,10,2,4,3,1,4765894829.0,8150158191.4,1.0,1.0,0.5847610214521903,70,3등급,1등급,3등급
2024-01-09,금,10,5,1,2,2,5591927011.4,12890913594.9,1.0,-1.0,0.43378826257995556,52,3등급,5등급,6등급
2024-01-11,금,10,4,2,0,4,5403065013.2,11089218902.6,1.0,-1.0,0.4872358513847343,130,6등급,4등급,3등급
2024-01-12,금,10,2,4,2,2,3942350524.2,5403065013.2,-2.0,2.0,0.7296507657354872,82,4등급,3등급,3등급
2024-01-15,금,10,2,4,2,2,6954087530.9,3942350524.2,0.0,0.0,1.76394450169069,75,3등급,3등급,2등급
2024-01-16,금,10,2,5,2,1,8278995374.7,6954087530.9,0.0,0.0,1.190522169574781,53,3등급,2등급,6등급
2024-01-18,금,10,0,6,3,1,8452799885.9,11176444916.1,-1.0,1.0,0.7563048849033821,175,6등급,4등급,2등급
2024-01-19,금,10,4,2,3,1,10262439150.0,8452799885.9,4.0,0.0,1.2140875554286614,93,4등급,2등급,2등급
2024-01-25,금,10,4,1,2,3,20786389549.0,4225928935.3,-1.0,1.0,4.918774041694662,73,3등급,6등급,6등급
2024-01-26,금,10,4,1,2,3,7094856956.3,20786389549.0,0.0,0.0,0.34132223585896004,132,6등급,6등급,6등급
2024-01-29,금,10,1,2,5,2,6873492780.5,7094856956.3,-3.0,3.0,0.9687993461794271,133,6등급,6등급,6등급
2024-01-30,금,10,1,3,3,3,5029820054.4,6873492780.5,0.0,-2.0,0.7317706172136423,184,6등급,6등급,6등급
2024-01-31,금,10,1,3,3,3,8184632207.6,5029820054.4,0.0,0.0,1.6272216737535619,136,6등급,6등급,6등급
