stock_code,stock_name,frgn_d1,frgn_d2,orgn_d1,orgn_d2,frgn_cum,orgn_cum,sector
024880,케이피에프,1,1,1,1,16875.0,653.0,자본재
092070,디엔에프,1,1,1,1,89819.0,3869.0,반도체와반도체장비
453340,현대그린푸드,1,1,1,1,12022.0,4643.0,"식품,음료,담배"
009270,신원,1,1,1,1,45804.0,642.0,내구소비재와의류
052400,코나아이,1,1,1,1,2607.0,22943.0,소프트웨어와서비스
049430,코메론,1,1,1,1,8305.0,1138.0,자본재
161000,애경케미칼,1,1,1,1,33114.0,349.0,소재
123570,이엠넷,1,1,1,1,377.0,3581.0,기타
091700,파트론,1,1,1,1,364769.0,31847.0,기술하드웨어와장비
178920,PI첨단소재,1,1,1,1,23250.0,9393.0,소재
420770,기가비스,1,1,1,1,12259.0,43620.0,반도체와반도체장비
012630,HDC,1,1,1,1,118140.0,1531.0,자본재
297570,알로이스,1,1,1,1,2596.0,100000.0,전자와전기제품
004270,남성,1,1,1,1,9202.0,298.0,기술하드웨어와장비
005870,휴니드,1,1,1,1,251626.0,1512.0,자본재
018880,한온시스템,1,1,1,1,190199.0,269990.0,자동차와부품
033560,블루콤,1,1,1,1,1710.0,30000.0,기술하드웨어와장비
123330,제닉,1,1,1,1,6044.0,32765.0,내구소비재와의류
069730,DSR제강,1,1,1,1,60838.0,31.0,소재
450330,하스,1,1,1,1,4946.0,2386.0,건강관리장비와서비스
012700,리드코프,1,1,1,1,2762.0,1.0,에너지
136410,아셈스,1,1,1,1,7894.0,31.0,소재
095340,ISC,1,1,1,1,52643.0,38390.0,반도체와반도체장비
016710,대성홀딩스,1,1,1,1,2655.0,133.0,유틸리티
330730,스톤브릿지벤처스,1,1,1,1,7977.0,2.0,다각화된금융
094360,칩스앤미디어,1,1,1,1,87185.0,21.0,반도체와반도체장비
011090,에넥스,1,1,1,1,19744.0,124.0,자본재
127120,제이에스링크,1,1,1,1,30402.0,360.0,제약과생물공학
006805,미래에셋증권우,1,1,1,1,38615.0,1965.0,
444530,심플랫폼,1,1,1,1,15880.0,113.0,기타
092870,엑시콘,1,1,1,1,84181.0,29591.0,반도체와반도체장비
131290,티에스이,1,1,1,1,32488.0,8156.0,반도체와반도체장비
308080,바이젠셀,1,1,1,1,69162.0,1426.0,제약과생물공학
064550,바이오니아,1,1,1,1,62134.0,4943.0,제약과생물공학
001360,삼성제약,1,1,1,1,41381.0,237.0,제약과생물공학
348210,넥스틴,1,1,1,1,5787.0,5856.0,반도체와반도체장비
011000,진원생명과학,1,1,1,1,238581.0,16.0,제약과생물공학
358570,지아이이노베이션,1,1,1,1,180060.0,20697.0,제약과생물공학
002100,경농,1,1,1,1,4729.0,754.0,소재
138610,나이벡,1,1,1,1,48146.0,59.0,건강관리장비와서비스
007120,미래아이앤지,1,1,1,1,2686.0,53.0,소프트웨어와서비스
054950,제이브이엠,1,1,1,1,6887.0,7922.0,건강관리장비와서비스
007530,와이엠,1,1,1,1,234.0,55.0,자동차와부품
361570,알비더블유,1,1,1,1,75049.0,15207.0,기타
194480,데브시스터즈,1,1,1,1,37565.0,30497.0,기타
084990,헬릭스미스,1,1,1,1,7123.0,765.0,제약과생물공학
086900,메디톡스,1,1,1,1,7674.0,1458.0,제약과생물공학
058970,엠로,1,1,1,1,10544.0,3777.0,소프트웨어와서비스
347700,스피어,1,1,1,1,553660.0,64890.0,건강관리장비와서비스
443250,레뷰코퍼레이션,1,1,1,1,13170.0,2911.0,기타
072950,빛샘전자,1,1,1,1,113443.0,9724.0,기술하드웨어와장비
101160,월덱스,1,1,1,1,17157.0,5795.0,반도체와반도체장비
060850,영림원소프트랩,1,1,1,1,1780.0,1692.0,소프트웨어와서비스
476040,오가노이드사이언스,1,1,1,1,22261.0,2.0,
021820,세원정공,1,1,1,1,917.0,3698.0,자동차와부품
010640,진양폴리,1,1,1,1,19393.0,15.0,소재
101970,우양에이치씨,1,1,1,1,2841.0,1389.0,기타
038540,상상인,1,1,1,1,23252.0,15920.0,은행
021050,서원,1,1,1,1,214909.0,29.0,소재
003470,유안타증권,1,1,1,1,51827.0,3110.0,증권
004870,티웨이홀딩스,1,1,1,1,31766.0,84.0,자본재
002290,삼일기업공사,1,1,1,1,24773.0,34252.0,자본재
083650,비에이치아이,1,1,1,1,34177.0,110130.0,에너지
009155,삼성전기우,1,1,1,1,9065.0,812.0,
259630,엠플러스,1,1,1,1,31052.0,1309.0,전자와전기제품
094170,동운아나텍,1,1,1,1,36577.0,392.0,반도체와반도체장비
052690,한전기술,1,1,1,1,607.0,80696.0,유틸리티
168330,내츄럴엔도텍,1,1,1,1,23913.0,939.0,내구소비재와의류
008970,KBI동양철관,1,1,1,1,556807.0,37.0,소재
083450,GST,1,1,1,1,198240.0,11066.0,반도체와반도체장비
001260,남광토건,1,1,1,1,10471.0,19.0,자본재
109080,옵티시스,1,1,1,1,4029.0,1166.0,기술하드웨어와장비
086820,바이오솔루션,1,1,1,1,154434.0,956.0,제약과생물공학
001200,유진투자증권,1,1,1,1,211424.0,88740.0,증권
120240,대정화금,1,1,1,1,3106.0,22.0,소재
338220,뷰노,1,1,1,1,31155.0,218.0,건강관리장비와서비스
101140,인바이오젠,1,1,1,1,1426.0,4.0,기술하드웨어와장비
089980,상아프론테크,1,1,1,1,71015.0,505.0,기술하드웨어와장비
322000,HD현대에너지솔루션,1,1,1,1,23449.0,43022.0,에너지
000250,삼천당제약,1,1,1,1,29860.0,9079.0,제약과생물공학
372910,한컴라이프케어,1,1,1,1,110302.0,9.0,건강관리장비와서비스
223250,드림씨아이에스,1,1,1,1,11231.0,500.0,제약과생물공학
045660,에이텍,1,1,1,1,2902.0,1063.0,기술하드웨어와장비
004840,DRB동일,1,1,1,1,8561.0,157.0,자동차와부품
010955,S-Oil우,1,1,1,1,337.0,495.0,
041510,에스엠,1,1,1,1,14635.0,26629.0,기타
078600,대주전자재료,1,1,1,1,18936.0,229499.0,기술하드웨어와장비
101930,인화정공,1,1,1,1,237.0,3000.0,자본재
191420,테고사이언스,1,1,1,1,322.0,500.0,제약과생물공학
036800,나이스정보통신,1,1,1,1,1685.0,770.0,상업서비스와공급품
112290,와이씨켐,1,1,1,1,32154.0,106.0,반도체와반도체장비
033270,유나이티드제약,1,1,1,1,14282.0,3795.0,제약과생물공학
016800,퍼시스,1,1,1,1,57.0,167.0,자본재
000650,천일고속,1,1,1,1,2415.0,450.0,운송
950190,고스트스튜디오,1,1,1,1,1392.0,5.0,기타
067160,SOOP,1,1,1,1,7381.0,6227.0,기타
216050,인크로스,1,1,1,1,10486.0,2041.0,기타
338100,NH프라임리츠,1,1,1,1,16604.0,12940.0,부동산
094940,푸른기술,1,1,1,1,78757.0,2.0,기술하드웨어와장비
013990,아가방컴퍼니,1,1,1,1,164509.0,148800.0,내구소비재와의류
078020,LS증권,1,1,1,1,53345.0,1293.0,증권
078340,컴투스,1,1,1,1,10581.0,4137.0,기타
039440,에스티아이,1,1,1,1,97146.0,57771.0,반도체와반도체장비
459510,나우로보틱스,1,1,1,1,4772.0,20.0,
000760,이화산업,1,1,1,1,406.0,1.0,소재
102710,이엔에프테크놀로지,1,1,1,1,31069.0,8037.0,반도체와반도체장비
199480,뱅크웨어글로벌,1,1,1,1,17440.0,297.0,소프트웨어와서비스
393890,더블유씨피,1,1,1,1,77670.0,121783.0,전자와전기제품
317450,명인제약,1,1,1,1,3812.0,3952.0,
037070,파세코,1,1,1,1,37121.0,1.0,내구소비재와의류
044450,KSS해운,1,1,1,1,35727.0,7039.0,운송
080220,제주반도체,1,1,1,1,288667.0,41191.0,반도체와반도체장비
083500,에프엔에스테크,1,1,1,1,11189.0,1.0,디스플레이
088130,동아엘텍,1,1,1,1,82599.0,111416.0,디스플레이
086390,유니테스트,1,1,1,1,276012.0,308166.0,반도체와반도체장비
002820,SUN&L,1,1,1,1,715.0,26243.0,소재
047080,한빛소프트,1,1,1,1,53368.0,1655.0,기타
323280,태성,1,1,1,1,19782.0,16957.0,기술하드웨어와장비
013360,일성건설,1,1,1,1,75368.0,92.0,자본재
064760,티씨케이,1,1,1,1,5796.0,18333.0,반도체와반도체장비
013310,아진산업,1,1,1,1,49436.0,8.0,자동차와부품
068930,디지털대성,1,1,1,1,25554.0,15577.0,교육서비스
293780,압타바이오,1,1,1,1,50385.0,5.0,제약과생물공학
025980,아난티,1,1,1,1,374205.0,73347.0,"호텔,레스토랑,레저 등"
